,date,open,high,low,close,volume,day,month,year,day_name
1879,2020-03-02,11387.35,11432.8,11036.7,11149.2,0,2,3,2020,Monday
1880,2020-03-03,11217.55,11341.7,11152.75,11329.15,0,3,3,2020,Tuesday
1881,2020-03-04,11351.35,11354.95,11083.25,11256.3,0,4,3,2020,Wednesday
1882,2020-03-05,11306.05,11388.15,11244.85,11258.0,0,5,3,2020,Thursday
1883,2020-03-06,10942.65,11034.5,10831.3,10981.0,0,6,3,2020,Friday
1886,2020-03-09,10742.05,10743.7,10295.25,10457.6,0,9,3,2020,Monday
1888,2020-03-11,10334.3,10544.75,10334.3,10454.1,0,11,3,2020,Wednesday
1889,2020-03-12,10039.95,10039.95,9508.4,9630.65,0,12,3,2020,Thursday
1890,2020-03-13,9107.6,10156.85,8476.15,10020.45,0,13,3,2020,Friday
1893,2020-03-16,9587.8,9601.75,9165.35,9200.05,0,16,3,2020,Monday
1894,2020-03-17,9285.4,9403.6,8916.7,8965.3,0,17,3,2020,Tuesday
1895,2020-03-18,9088.45,9125.9,8408.85,8539.3,0,18,3,2020,Wednesday
1896,2020-03-19,8063.3,8574.55,7834.6,8267.9,0,19,3,2020,Thursday
1897,2020-03-20,8284.45,8882.6,8178.4,8744.35,0,20,3,2020,Friday
1900,2020-03-23,7945.7,8355.55,7584.5,7636.65,0,23,3,2020,Monday
1901,2020-03-24,7848.3,8033.8,7512.25,7852.45,0,24,3,2020,Tuesday
1902,2020-03-25,7735.15,8375.65,7714.95,8300.45,0,25,3,2020,Wednesday
1903,2020-03-26,8451.0,8748.15,8309.95,8653.5,0,26,3,2020,Thursday
1904,2020-03-27,8949.1,9038.5,8523.7,8673.5,0,27,3,2020,Friday
1907,2020-03-30,8385.95,8575.25,8244.45,8291.7,0,30,3,2020,Monday
1908,2020-03-31,8529.35,8677.55,8358.75,8556.15,0,31,3,2020,Tuesday
1909,2020-04-01,8584.1,8587.6,8199.7,8262.65,0,1,4,2020,Wednesday
1911,2020-04-03,8356.55,8356.55,8056.2,8106.45,0,3,4,2020,Friday
1915,2020-04-07,8446.3,8818.25,8361.95,8779.3,0,7,4,2020,Tuesday
1916,2020-04-08,8688.9,9130.5,8658.35,8752.4,0,8,4,2020,Wednesday
1917,2020-04-09,8973.05,9127.85,8904.75,9098.55,0,9,4,2020,Thursday
1921,2020-04-13,9103.95,9111.55,8912.9,9006.65,0,13,4,2020,Monday
1923,2020-04-15,9196.4,9260.55,8874.5,8942.6,0,15,4,2020,Wednesday
1924,2020-04-16,8851.25,9053.0,8823.2,9016.6,0,16,4,2020,Thursday
1925,2020-04-17,9323.45,9323.45,9092.1,9291.35,0,17,4,2020,Friday
1928,2020-04-20,9390.2,9390.2,9231.05,9262.0,0,20,4,2020,Monday
1929,2020-04-21,9016.95,9044.0,8910.45,8981.1,0,21,4,2020,Tuesday
1930,2020-04-22,9026.75,9209.5,8946.65,9193.35,0,22,4,2020,Wednesday
1931,2020-04-23,9232.35,9343.15,9171.5,9302.9,0,23,4,2020,Thursday
1932,2020-04-24,9163.9,9296.1,9142.25,9174.0,0,24,4,2020,Friday
1935,2020-04-27,9259.7,9376.45,9259.2,9289.6,0,27,4,2020,Monday
1936,2020-04-28,9389.8,9403.1,9260.3,9401.7,0,28,4,2020,Tuesday
1937,2020-04-29,9408.6,9599.3,9396.1,9536.8,0,29,4,2020,Wednesday
1938,2020-04-30,9753.5,9889.05,9734.3,9851.85,0,30,4,2020,Thursday
1942,2020-05-04,9533.5,9533.5,9267.4,9305.7,0,4,5,2020,Monday
1943,2020-05-05,9429.4,9450.0,9191.05,9222.9,0,5,5,2020,Tuesday
1944,2020-05-06,9226.8,9346.55,9117.35,9287.8,0,6,5,2020,Wednesday
1945,2020-05-07,9234.05,9277.3,9178.95,9212.95,0,7,5,2020,Thursday
1946,2020-05-08,9376.95,9380.85,9238.35,9249.5,0,8,5,2020,Friday
1949,2020-05-11,9348.15,9439.5,9220.45,9247.2,0,11,5,2020,Monday
1950,2020-05-12,9168.85,9240.35,9044.1,9209.65,0,12,5,2020,Tuesday
1951,2020-05-13,9584.2,9584.2,9351.45,9383.25,0,13,5,2020,Wednesday
1952,2020-05-14,9213.95,9280.65,9120.25,9150.2,0,14,5,2020,Thursday
1953,2020-05-15,9182.4,9182.4,9050.1,9128.95,0,15,5,2020,Friday
1956,2020-05-18,9158.3,9158.3,8807.5,8830.4,0,18,5,2020,Monday
1957,2020-05-19,8961.7,9029.9,8855.95,8890.55,0,19,5,2020,Tuesday
1958,2020-05-20,8889.15,9092.7,8877.4,9085.15,0,20,5,2020,Wednesday
1959,2020-05-21,9079.45,9177.8,9056.6,9102.2,0,21,5,2020,Thursday
1960,2020-05-22,9067.9,9148.85,8969.2,9051.5,0,22,5,2020,Friday
1964,2020-05-26,9099.75,9160.85,8997.0,9046.1,0,26,5,2020,Tuesday
1965,2020-05-27,9082.2,9333.35,9004.7,9317.4,0,27,5,2020,Wednesday
1966,2020-05-28,9364.95,9509.5,9338.95,9488.0,0,28,5,2020,Thursday
1967,2020-05-29,9422.2,9597.75,9377.9,9568.45,0,29,5,2020,Friday
1970,2020-06-01,9726.85,9930.8,9712.4,9812.2,0,1,6,2020,Monday
1971,2020-06-02,9880.85,9995.45,9824.65,9995.1,0,2,6,2020,Tuesday
1972,2020-06-03,10108.3,10175.7,10035.85,10068.05,0,3,6,2020,Wednesday
1973,2020-06-04,10054.25,10123.65,9944.6,10030.75,0,4,6,2020,Thursday
1974,2020-06-05,10093.8,10177.4,10041.25,10168.2,0,5,6,2020,Friday
1977,2020-06-08,10326.75,10327.65,10121.1,10175.25,0,8,6,2020,Monday
1978,2020-06-09,10181.15,10291.1,10022.65,10026.25,0,9,6,2020,Tuesday
1979,2020-06-10,10072.6,10147.65,10036.9,10139.4,0,10,6,2020,Wednesday
1980,2020-06-11,10094.1,10111.65,9886.0,9910.15,0,11,6,2020,Thursday
